N,"P(N, theta0)"
1000,0.0
2000,0.08068181818181819
3000,0.11172305271439811
4000,0.12447129909365559
5000,0.13274336283185842
6000,0.13846153846153847
7000,0.14166967835200578
8000,0.1444515306122449
9000,0.14665523156089194
10000,0.1484172288531396
11000,0.14909781576448244
12000,0.15017513134851138
13000,0.15151515151515152
14000,0.152256351915055
15000,0.15186042371372618
16000,0.15273581738838538
17000,0.15252893610274298
18000,0.153337342152736
19000,0.15417558886509636
20000,0.1541604248944573
21000,0.15441654741771824
22000,0.15440259416313296
23000,0.15443553214413983
24000,0.15436859675377
25000,0.15453639082751744
26000,0.15484835540367364
27000,0.1549484536082474
28000,0.15492677094749427
29000,0.1544472313332047
30000,0.15477302447225855
31000,0.15507876154263986
32000,0.15509666080843584
33000,0.1551547273038126
34000,0.15495300673708726
35000,0.15515985430999596
36000,0.15506503744580213
37000,0.15530623222930914
38000,0.15455568053993252
39000,0.1547523231140704
40000,0.15472021725148288
41000,0.1547810295452958
42000,0.15457650273224044
43000,0.15477702747877248
44000,0.15480706344015696
45000,0.15478171808987326
46000,0.15467084639498432
47000,0.15454545454545454
48000,0.15482355775021076
49000,0.15481393975191968
50000,0.15455547178565215
51000,0.15448126637057283
52000,0.15452155919691293
53000,0.1545010160927116
54000,0.15456851422095094
55000,0.15424205443837216
56000,0.15434385598747719
57000,0.15423728813559323
58000,0.15443703254497676
59000,0.15448124937829505
60000,0.15586895842515058
61000,0.15740249722798053
62000,0.15876934764030007
63000,0.16013652515429214
64000,0.16144345100930962
65000,0.16316434439250216
66000,0.16456375838926174
67000,0.16593886462882096
68000,0.16728301065912551
69000,0.16840434204316299
70000,0.16974263460887234
71000,0.1706980824664745
72000,0.17191173437822233
73000,0.1729923440299723
74000,0.1739951768488746
75000,0.17491762277184486
76000,0.17590777193945573
77000,0.1766141213834773
78000,0.17768168076231297
79000,0.17862139373085795
80000,0.1794296819523863
81000,0.18039751736367668
82000,0.1811371775195498
83000,0.18180504371703157
84000,0.18294468449808948
85000,0.18388531883341572
86000,0.18479854758745898
87000,0.1852824321989981
88000,0.185994053111863
89000,0.18660173818944237
90000,0.18730126853432405
91000,0.1878892275076189
92000,0.1883772792863702
93000,0.18903824923696344
94000,0.189798148624325
95000,0.19029577509631
96000,0.19088157396897465
97000,0.19152590002185657
98000,0.19217213874976813
99000,0.192896509491733
100000,0.19344858962693356
101000,0.1941240086517664
102000,0.19459330713350007
103000,0.1951615282490043
104000,0.1957207997193967
105000,0.1960710456929273
106000,0.19662905217216528
107000,0.1970279272354599
108000,0.1974779247891218
109000,0.19791899753859923
110000,0.19834710743801653
111000,0.19881770690129227
112000,0.19930756229213237
113000,0.1998810553633218
114000,0.20036454284718686
115000,0.20077107152353096
116000,0.2010181472884575
117000,0.20156438026474127
118000,0.20193131376061055
119000,0.20240486121839435
120000,0.20273342700217142
121000,0.20299665348341953
122000,0.2033109417062923
123000,0.20357561986566455
124000,0.20403965303593558
125000,0.20439284748013872
126000,0.20479515601347723
127000,0.205156787670237
128000,0.20555555555555555
129000,0.2058584797555386
130000,0.20605040422959292
131000,0.20634136007344114
132000,0.20672088240792671
133000,0.206995798806954
134000,0.20728278405162479
135000,0.20767928241270422
136000,0.20801799959091838
137000,0.20810475222937125
138000,0.20836043147720393
139000,0.20865904990980155
140000,0.2087223967783334
141000,0.20907332512748372
142000,0.20938967136150236
143000,0.20973652824460587
144000,0.21001163141343213
145000,0.21018385736606665
146000,0.21049162201241814
147000,0.21062863180137348
148000,0.2109352034602948
149000,0.2112038389317755
150000,0.21152809454696248
151000,0.2117571911316245
152000,0.21202440922308227
153000,0.2121643902538319
154000,0.2122885813708829
155000,0.21263847839636488
156000,0.21293983655363957
157000,0.21308251559334154
158000,0.21321511088291634
159000,0.21343881276746104
160000,0.2137629539998829
161000,0.21389492472450722
162000,0.21409010259970687
163000,0.21423503921155063
164000,0.2145321464651278
165000,0.21475276235240603
166000,0.21486590904807673
167000,0.2150392564693537
168000,0.21518940170303155
169000,0.21533360500870596
170000,0.21551215917464997
171000,0.21580769864971328
172000,0.21596209912536443
173000,0.21615890679087302
174000,0.21629562866155927
175000,0.2164706304238686
176000,0.2167338350155141
177000,0.2167417763741528
178000,0.2168987241251522
179000,0.21717836642266575
180000,0.21735182145227203
181000,0.21755897578431713
182000,0.21765580173516297
183000,0.21780765395591928
184000,0.21784058442113907
185000,0.21809053778080326
186000,0.21830866664408846
187000,0.21850254405768776
188000,0.21854726501600924
189000,0.21868379347735425
190000,0.21876556326571267
191000,0.2190875755673747
192000,0.2192620593310872
193000,0.2193925118995044
194000,0.21942047859352107
195000,0.2194319783549082
196000,0.21959595633877754
197000,0.2197297904431822
198000,0.21993324709752632
199000,0.21994372645333587
200000,0.2200936501407916
201000,0.22014925373134328
202000,0.220280542277251
203000,0.2204838634201126
204000,0.2206870857071891
205000,0.2207868467410452
206000,0.22080859050490753
207000,0.22085062717289755
208000,0.22098360655737706
209000,0.2210481569199004
210000,0.22117942207713698
211000,0.22132787699158982
212000,0.22141840784842357
213000,0.22156947530081858
214000,0.22170434472828748
215000,0.22174272877748877
216000,0.2218690681145985
217000,0.22200896650745744
218000,0.22211524434719182
219000,0.22225933887178295
220000,0.22233150130170667
221000,0.22233745282747097
222000,0.22248515618277256
223000,0.22258879986289043
224000,0.2226963064100923
225000,0.22278398549801023
226000,0.22282869312572282
227000,0.22301178254946846
228000,0.2230691767601891
229000,0.22311528389145818
230000,0.22318727974026695
231000,0.22326635526934027
232000,0.22345622944277005
233000,0.22356536874854377
234000,0.22361291203166586
235000,0.22369512311185435
236000,0.22379127797560217
237000,0.22381356960796214
238000,0.22383709215952288
239000,0.2238754047472504
240000,0.2240522353254714
241000,0.224091011668503
242000,0.22423072345714928
243000,0.2243779718391486
244000,0.22447747877770052
245000,0.22460102733011802
246000,0.22466994766033904
247000,0.2247947390949064
248000,0.22491827848624624
249000,0.2249584840565904
250000,0.225006733272627
251000,0.22508975227095604
252000,0.22509896768116494
253000,0.22522191224955618
254000,0.22523911203204164
255000,0.22525618752675178
256000,0.22540387316877383
257000,0.22548358074673863
258000,0.22551729289609324
259000,0.2256347916692509
260000,0.22564419452511894
261000,0.2257206536060386
262000,0.22575579112681587
263000,0.2258230138258988
264000,0.22592827209823604
265000,0.2258937784522003
266000,0.225941068318173
267000,0.2260568728377352
268000,0.22612111528897325
269000,0.22623237329119683
270000,0.2262397556873084
271000,0.22639468397465615
272000,0.22646874148491275
273000,0.2265574273672778
274000,0.22665945208379895
275000,0.22668870600923777
276000,0.2267087276550999
277000,0.22679055902935458
278000,0.22689134143369424
279000,0.2269778307178129
280000,0.22705481030747246
281000,0.22706806643541386
282000,0.22716137008883597
283000,0.22719959836149747
284000,0.227294952412358
285000,0.22730879086004444
286000,0.22741443578447984
287000,0.22738890077350057
288000,0.22747267544942434
289000,0.22747659579227578
290000,0.22748609082496182
291000,0.22754198201802642
292000,0.22757635173307633
293000,0.22763760834759564
294000,0.2276554297223231
295000,0.22767715110092046
296000,0.22769971020832194
297000,0.22776475718101052
298000,0.2278095900383558
299000,0.22791075490089896
300000,0.22796808705884894
301000,0.22800805088850382
302000,0.22805549296681366
303000,0.22813098409234356
304000,0.22824023716595218
305000,0.22832326926348018
306000,0.22841488358291206
307000,0.2284944532488114
308000,0.22849167895512956
309000,0.2284970230282156
310000,0.22849335720342975
311000,0.2285338510678274
312000,0.22859343129500895
313000,0.2286135234122908
314000,0.2286166514938343
315000,0.22874644227199603
316000,0.2287309519402801
317000,0.22876915978879378
318000,0.228789907891105
319000,0.2288466439019418
320000,0.2289163973413013
321000,0.22899355518625106
322000,0.22903678855422296
323000,0.22899578807359788
324000,0.22906913664583795
325000,0.22908610014627206
326000,0.229148770401742
327000,0.2292239353013824
328000,0.2292825361512792
329000,0.2293645213361194
330000,0.22932590705299125
331000,0.22931623679104993
332000,0.22935590623864563
333000,0.22936067291403503
334000,0.22939838097005089
335000,0.22947499610531236
336000,0.22947110856499237
337000,0.22952010225424122
338000,0.22947226111728067
339000,0.2294943035719445
340000,0.22959036699890534
341000,0.22962232351476616
342000,0.22965707573746383
343000,0.22968867556165062
344000,0.22969020077117405
345000,0.229749185420929
346000,0.22982903560971002
347000,0.22978446814122613
348000,0.22989488318788573
349000,0.22993394856420105
350000,0.22993113372391819
351000,0.22991044386666293
352000,0.22994990380415084
353000,0.23000917626776163
354000,0.230152714095548
355000,0.23012594737133268
356000,0.23009012322972228
357000,0.2301124378656982
358000,0.23020214030915576
359000,0.23023938984782688
360000,0.230344438581488
361000,0.2303623116079449
362000,0.2302888227148068
363000,0.23032759507840075
364000,0.23035508498991644
365000,0.23046047196580582
366000,0.23049226139294926
367000,0.23055208147221726
368000,0.23056770893667072
369000,0.2305873568939771
370000,0.23059123912870022
371000,0.23064135327043303
372000,0.23072649346526272
373000,0.23075299085151302
374000,0.23072603148417895
375000,0.23083655714460763
376000,0.23085116599876024
377000,0.23083823209231438
378000,0.23087080408645494
379000,0.2309298718404201
380000,0.23097335188818685
381000,0.2309085264900662
382000,0.23095780826631113
383000,0.2309474370634771
384000,0.23101482521313385
385000,0.23104970582961173
386000,0.2311479459289103
387000,0.23116726426155965
388000,0.23121127620080859
389000,0.23119784224366074
390000,0.23118188872768985
391000,0.23123979737803133
392000,0.2313006253409997
393000,0.2312614106493811
394000,0.2312782507707604
395000,0.23131037816842123
396000,0.2313634511603928
397000,0.23138178741476847
398000,0.2314319052623739
399000,0.23145067410813802
400000,0.23147438906871587
401000,0.23146892794636034
402000,0.23144459200236092
403000,0.23146694147283017
404000,0.23149727079134813
405000,0.23148117999479031
406000,0.23150073087542633
407000,0.23155694541212307
408000,0.231542105178072
409000,0.2315545842372239
410000,0.23160969016260227
411000,0.2316675763315889
412000,0.23164402870322912
413000,0.2317310918998386
414000,0.2316871935908167
415000,0.23173835581572919
416000,0.23180815439064262
417000,0.231830129524654
418000,0.23181135950707007
419000,0.23186966494053107
420000,0.23194161548322154
421000,0.23198719507889307
422000,0.23199956158549473
423000,0.23204242954446042
424000,0.23209720663424366
425000,0.23205244861295818
426000,0.23206872201572162
427000,0.23209736986768043
428000,0.23208794944297656
429000,0.2321271642435362
430000,0.23213255486580667
431000,0.23212366829388106
432000,0.2321107171030965
433000,0.23208144173889117
434000,0.23210567660944043
435000,0.23215250561241962
436000,0.2321286177540497
437000,0.2321466460549847
438000,0.23220645278367977
439000,0.23220846630302755
440000,0.2322899257720162
441000,0.23228035908800662
442000,0.23232557965202139
443000,0.2323511150010847
444000,0.23236681796464406
445000,0.2323812503724894
446000,0.2323674585947489
447000,0.23241980344891527
448000,0.23242887171744087
449000,0.23246676514032497
450000,0.23247792697846498
451000,0.23252358993594127
452000,0.232554384522796
453000,0.2325467276029765
454000,0.2325374028840602
455000,0.2326015607906061
456000,0.2326101038626422
457000,0.2326196217425409
458000,0.23268033541336
459000,0.23271927730885789
460000,0.23273068456569593
461000,0.2327802264281393
462000,0.2327628959341062
463000,0.23278916639171413
464000,0.23278021962289003
465000,0.2327932330289911
466000,0.23280121491262468
467000,0.23278996463715732
468000,0.23277398646489464
469000,0.2327939957051432
470000,0.23280404569084415
471000,0.2327947083448047
472000,0.23284747123926536
473000,0.23280765526017902
474000,0.2328285521809914
475000,0.23280082362746266
476000,0.23281351572384196
477000,0.23284221394388402
478000,0.2328257827349249
479000,0.2328346385563099
480000,0.23286939757699324
481000,0.23288666786638795
482000,0.23290481683855682
483000,0.23294471294719496
484000,0.23299641522805617
485000,0.23299364107071735
486000,0.23299453769130074
487000,0.23296461236412394
488000,0.23296668783242183
489000,0.2330478156877977
490000,0.23306491103977364
491000,0.2330579522235271
492000,0.2331009437861203
493000,0.23310228233305155
494000,0.23315222893395876
495000,0.2330876706053543
496000,0.2331210790675157
497000,0.23314789587765156
498000,0.23318418690637266
499000,0.23317444293650846
500000,0.2331780814605242
501000,0.23317791247585426
502000,0.233206573768748
503000,0.2332472944189719
504000,0.23323707844332
505000,0.23324628962416952
506000,0.23321785608235177
507000,0.23318007561884938
508000,0.2332329700093351
509000,0.23322090398446113
510000,0.2332455657732715
511000,0.23327754824538466
512000,0.23330440626651616
513000,0.2333203074117494
514000,0.23330234251571755
515000,0.23330261655072163
516000,0.23330504686700396
517000,0.23336566440349177
518000,0.23342003859782742
519000,0.23341043665393066
520000,0.2334195158344267
521000,0.23337870111193856
522000,0.2334044639252552
523000,0.23341308019036897
524000,0.23339846244221388
525000,0.23340110776134054
526000,0.23339229809870446
527000,0.23337927705333494
528000,0.23341934584001675
529000,0.23344914658920468
530000,0.23349567612297625
531000,0.2335033702622436
532000,0.23348355909159574
533000,0.2334967012252592
534000,0.2335018376588352
535000,0.23353075969497
536000,0.23362038796120388
537000,0.23358433828896555
538000,0.23363828289936664
539000,0.2336891314753915
540000,0.23370836720635965
541000,0.23372938683979036
542000,0.23373611695154228
543000,0.23369447788375466
544000,0.233693240644875
545000,0.23368234555901424
546000,0.23369708730709474
547000,0.23369585208254148
548000,0.2337090891287851
549000,0.23373044965786902
550000,0.23371593764484888
551000,0.2337558754048854
552000,0.2337549459967057
553000,0.23378798174934473
554000,0.23379832940620626
555000,0.23377777777777778
556000,0.23378889036448586
557000,0.23378572203406173
558000,0.2338414707510167
559000,0.23384602449146283
560000,0.23382479029637313
561000,0.2338225962862308
562000,0.2338800752890562
563000,0.23389011513452246
564000,0.23393839777031372
565000,0.23392807243886632
566000,0.2338985867674903
567000,0.23389290179603106
568000,0.23387917366714783
569000,0.23394064668536838
570000,0.23399877367167418
571000,0.23396690663574343
572000,0.2339642821463621
573000,0.23396465535450256
574000,0.233940977307075
575000,0.2339442566579726
576000,0.23392167967723665
577000,0.2339349002051856
578000,0.23395488511767581
579000,0.2340165934602245
580000,0.23399034780389336
581000,0.23401975886311255
582000,0.2340639580936302
583000,0.2340537295512532
584000,0.23401802798718216
585000,0.23403532999597215
586000,0.23405526512322627
587000,0.23403254578723062
588000,0.23402914984394238
589000,0.23406518010291597
590000,0.23404401061734736
591000,0.2340261827549456
592000,0.23404061612695812
593000,0.23403324584426946
594000,0.23408298119735685
595000,0.23407183390533148
596000,0.23408213229598385
597000,0.23409432194108548
598000,0.23405730520121082
599000,0.23405764068277365
600000,0.23406490908682265
601000,0.23407740683186257
602000,0.23409904384210792
603000,0.2341150217280664
604000,0.2341217989524352
605000,0.2340668714700684
606000,0.2341222572277823
607000,0.23414495878884214
608000,0.23413405248234034
609000,0.2341723410031525
610000,0.2341900294293364
611000,0.23422458120923245
612000,0.23420705781140566
613000,0.23419742753942385
614000,0.23421883074757827
615000,0.2342182113606921
616000,0.2341982373059721
617000,0.23422664163871088
618000,0.23420893010344318
619000,0.2342555664067828
620000,0.23425106772422208
621000,0.23422957882082887
622000,0.23424049704823302
623000,0.23425323883017088
624000,0.23422330754194937
625000,0.23427261521160875
626000,0.23429546178386929
627000,0.23426754338687075
628000,0.23431757153081598
629000,0.23432571984289452
630000,0.2343369421762503
631000,0.23434662667059486
632000,0.23435084697714473
633000,0.2343648191072325
634000,0.23439666389368827
635000,0.23440395305744285
636000,0.23444029731712765
637000,0.23442468902468158
638000,0.23441567047472633
639000,0.2344266893912528
640000,0.2344373450869099
641000,0.23445910290237468
642000,0.23444045718260428
643000,0.23445351180422921
644000,0.23446587404578148
645000,0.2344827948019789
646000,0.23447412397651016
647000,0.23445714435173803
648000,0.23444788624978452
649000,0.23445128312121843
650000,0.2344626442019739
651000,0.2344773068862042
652000,0.23448802297262913
653000,0.23446841829617993
654000,0.23447265271039264
655000,0.2344805120939804
656000,0.23452755275372644
657000,0.23453168420455658
658000,0.23450917402854143
659000,0.2345124327214217
660000,0.23457848456693478
661000,0.23457195142580337
662000,0.23455734818394006
663000,0.23458033254448152
664000,0.23459820858958327
665000,0.2346039561066854
666000,0.23458097089750507
667000,0.2346086214081701
668000,0.23459465494666112
669000,0.2345872968411877
670000,0.23461688334691275
671000,0.2346083291642031
672000,0.23458584390549148
673000,0.2346081548935913
674000,0.23463487542334927
675000,0.2346411108151707
676000,0.2346553186364298
677000,0.2346898379911504
678000,0.23466007466047498
679000,0.23463033852735105
680000,0.23463857225560458
681000,0.23463330758304468
682000,0.2346535540447727
683000,0.23468018488146714
684000,0.23464920987850393
685000,0.23466090438713003
686000,0.234671655678961
687000,0.2346928688638026
688000,0.2347076273068741
689000,0.2347371326610081
690000,0.23475470193590306
691000,0.23474559191478275
692000,0.23477262016965128
693000,0.23478000862711265
694000,0.23476226141698364
695000,0.23478197105983575
696000,0.23479929305849842
697000,0.23478735696629596
698000,0.23477858655695402
699000,0.2347861602193827
700000,0.23478113088445945
701000,0.23474642846751434
702000,0.2347406245157291
703000,0.2347786557824182
704000,0.2347640044624962
705000,0.23481947351667326
706000,0.23481469350006262
707000,0.2347963709483447
708000,0.2347956011857005
709000,0.23480872376968173
710000,0.2348068151328146
711000,0.23480099907174368
712000,0.23482947947876198
713000,0.23476717049028545
714000,0.23475861148579408
715000,0.23476241021662247
716000,0.2347885609978704
717000,0.23480485940667384
718000,0.2348091574101729
719000,0.23481842715780502
720000,0.2347917779847835
721000,0.23478770076457003
722000,0.23476448087689428
723000,0.23477236863798018
724000,0.2347888264792496
725000,0.2348240334879001
726000,0.23482051113623886
727000,0.2348258007075748
728000,0.23484486873508353
729000,0.2348327997569696
730000,0.23482981385014656
731000,0.23483976226547024
732000,0.23482827492772043
733000,0.23486472286669424
734000,0.23488767331927896
735000,0.23488983597130308
736000,0.2348974326909271
737000,0.23488734602877984
738000,0.2348775327303133
739000,0.23486557688669887
740000,0.2348463204460624
741000,0.23486232621071476
742000,0.2348131055912041
743000,0.23483857344185385
744000,0.2348270202367526
745000,0.2348381484364269
746000,0.234846544975674
747000,0.23486028213008672
748000,0.2348248858645334
749000,0.23483164492383937
750000,0.2348531030780569
751000,0.23486569496946788
752000,0.23483150146579657
753000,0.23484247596687713
754000,0.23489577439286605
755000,0.23489441347601417
756000,0.2348890554587243
757000,0.23487762750235636
758000,0.23487073236645348
759000,0.234880791722897
760000,0.23486121469713445
761000,0.234887884730156
762000,0.23488970357555822
763000,0.234890466513281
764000,0.23485624103043282
765000,0.23484993949353183
766000,0.2348898403353849
767000,0.23489373833482557
768000,0.23491727356446612
769000,0.234933415092579
770000,0.2349218465689712
771000,0.23490977113651576
772000,0.23491596861883932
773000,0.23492891728758097
774000,0.2349142975757763
775000,0.23490826962862324
776000,0.2349045921761619
777000,0.23490612115585163
778000,0.23488434441323963
779000,0.23489334802477643
780000,0.23492169276907698
781000,0.2349399173206278
782000,0.2349264528996759
783000,0.2349392326981381
784000,0.23492143832657744
785000,0.23495624585991703
786000,0.23494282692249097
787000,0.23495502701856738
788000,0.23498838496776014
789000,0.23496322126227404
790000,0.23499189922111227
791000,0.2350057545365651
792000,0.23497305543191258
793000,0.23497673454940995
794000,0.2349601207156715
795000,0.23497848994690312
796000,0.2349798699287705
797000,0.23500653010723124
798000,0.2349909673322091
799000,0.23501050015000213
800000,0.2349974958370967
801000,0.23502777029540411
802000,0.23499893230834934
803000,0.23502663874113286
804000,0.23502796937640857
805000,0.23501600108943588
806000,0.2350010626992561
807000,0.2350096588617403
808000,0.23501473612789686
809000,0.2350335036044965
810000,0.23498948597636565
811000,0.23500724757111283
812000,0.2350331564706826
813000,0.2350039421702596
814000,0.23499511488444175
815000,0.2349882850785131
816000,0.23499878158427656
817000,0.2350294815032419
818000,0.23502904905223798
819000,0.2350236974761769
820000,0.23504738167128078
821000,0.2350255439845274
822000,0.2350125807945721
823000,0.2350288419859291
824000,0.2350173817106934
825000,0.23505073186959413
826000,0.2350277886236947
827000,0.23503126309544062
828000,0.23501328238643662
829000,0.23503601291497642
830000,0.23506501560788043
831000,0.2350579839429081
832000,0.23508640213189888
833000,0.23508614330983157
834000,0.23503988540663356
835000,0.23504549360458185
836000,0.235053036618469
837000,0.23507092285857267
838000,0.23507647678244373
839000,0.2350760012769197
840000,0.2350637351495875
841000,0.2350755258633715
842000,0.23506449007562594
843000,0.2350956680465465
844000,0.23508414904658215
845000,0.23510542278888608
846000,0.2351104180372473
847000,0.23512685825542012
848000,0.23511059427964814
849000,0.23512651567887843
850000,0.23512218786004488
851000,0.23511145210789855
852000,0.2350895875182523
853000,0.23507464190019542
854000,0.235088623082248
855000,0.23510777716137227
856000,0.23510207687488957
857000,0.23509874002671577
858000,0.23508598996650157
859000,0.23506784613537204
860000,0.23511302665142053
861000,0.2350786804057832
862000,0.2351167086213981
863000,0.23509345235723111
864000,0.23508875292094442
865000,0.2351006807481868
866000,0.23510182356936593
867000,0.2351202402821808
868000,0.2351425797118681
869000,0.23515368901135447
870000,0.23516989369779803
871000,0.23516352417408343
872000,0.23519616779320604
873000,0.23519093718466197
874000,0.2351808614098016
875000,0.23517658303276787
876000,0.23516376438046144
877000,0.23514866058286724
878000,0.23515689019058933
879000,0.23514229091108482
880000,0.2351505097848966
881000,0.2351347971203677
882000,0.2351257866545903
883000,0.23513170979000528
884000,0.23511148853950792
885000,0.23513915263207047
886000,0.23515669338474815
887000,0.23515615595792352
888000,0.23518003498687023
889000,0.23518129615709493
890000,0.2351996284182617
891000,0.2351933620482999
892000,0.2351662018833381
893000,0.23516905826654988
894000,0.2351374477729298
895000,0.2351339904512552
896000,0.23511085127005862
897000,0.23510109354707323
898000,0.235088877544362
899000,0.2350933832297446
