structure,a_count,a_percent,b_count,b_percent,delta,ratio
semiprime | lopsided | mod4_1x3,286147,29.22032035977673,287234,31.050645911031836,1.8303255512551075,1.06x
semiprime | moderate | mod4_1x3,108359,11.065238125386765,89521,9.67742284200854,-1.3878152833782256,0.87x
semiprime | lopsided | mod4_1x1,111601,11.396299707742674,114385,12.365277552564727,0.968977844822053,1.09x
semiprime | lopsided | mod4_3x3,174549,17.824327001431673,173103,18.71282633371169,0.8884993322800163,1.05x
semiprime | moderate | mod4_3x3,56083,5.72699775548008,45355,4.902978217393654,-0.8240195380864259,0.86x
semiprime | moderate | mod4_1x1,52257,5.336300157055125,44163,4.774120317820659,-0.5621798392344663,0.89x
semiprime | lopsided | mod4_2x3,91615,9.355400020831759,82680,8.937895248905464,-0.41750477192629454,0.96x
semiprime | lopsided | mod4_2x1,91411,9.33456826179394,82761,8.946651532349604,-0.38791672944433664,0.96x
