theta0,P_N_half,P_N,abs_diff
0.1,0.3527375,0.3543097,0.0015723
0.15,0.4648083,0.4679418,0.0031335
0.2,0.5611282,0.5629429,0.0018147
0.25,0.6464222,0.6494733,0.003051
0.3,0.7247131,0.727411,0.0026979
0.35,0.7974215,0.7994966,0.0020751
0.4,0.8668522,0.8683389,0.0014867
0.45,0.9339676,0.9347107,0.0007431
